# table of mode parameters for star 00770 (Python indexed) from S4TESS (https://github.com/warrickball/s4tess)
# in the format of an input file for AADG3 (https://warrickball.github.io/AADG3)
#l       n            freq           width           power             dcyc
 3       8   1.0826901e+03   1.2851106e+00   2.1470674e-03   0.00000000e+00
 3       9   1.1891826e+03   1.5293971e+00   8.6929895e-03   0.00000000e+00
 3      10   1.2931536e+03   1.7422835e+00   3.0125110e-02   0.00000000e+00
 3      11   1.3945260e+03   1.8647377e+00   8.7927294e-02   0.00000000e+00
 3      12   1.4950034e+03   1.9182963e+00   2.2511982e-01   0.00000000e+00
 3      13   1.5970611e+03   1.9210905e+00   5.2070695e-01   0.00000000e+00
 3      14   1.6999862e+03   1.8983610e+00   1.0844476e+00   0.00000000e+00
 3      15   1.8029886e+03   1.8651052e+00   2.0116021e+00   0.00000000e+00
 3      16   1.9046564e+03   1.8239891e+00   3.2580381e+00   0.00000000e+00
 3      17   2.0059798e+03   1.8108914e+00   4.6622990e+00   0.00000000e+00
 3      18   2.1077285e+03   1.8414954e+00   5.8755730e+00   0.00000000e+00
 3      19   2.2107926e+03   1.9710930e+00   6.6150823e+00   0.00000000e+00
 3      20   2.3145824e+03   2.2124985e+00   6.5652337e+00   0.00000000e+00
 3      21   2.4186613e+03   2.6175605e+00   5.7775979e+00   0.00000000e+00
 3      22   2.5226122e+03   3.2027032e+00   4.4648736e+00   0.00000000e+00
 3      23   2.6263849e+03   4.0292993e+00   3.0492158e+00   0.00000000e+00
 3      24   2.7302676e+03   5.1241992e+00   1.8268220e+00   0.00000000e+00
 3      25   2.8343816e+03   6.5656729e+00   9.6476098e-01   0.00000000e+00
 3      26   2.9388996e+03   8.3957202e+00   4.4695199e-01   0.00000000e+00
 3      27   3.0435018e+03   1.0681998e+01   1.8241270e-01   0.00000000e+00
 3      28   3.1482585e+03   1.3448947e+01   6.5348528e-02   0.00000000e+00
 3      29   3.2529124e+03   1.6738735e+01   2.0622026e-02   0.00000000e+00
 3      30   3.3575924e+03   2.0595784e+01   5.7267839e-03   0.00000000e+00
